true_label,cnn_pred,cnn_confidence,wav2vec_pred,wav2vec_confidence,ensemble_pred,ensemble_confidence,models_agree,mobile_action,confidence_level,correct
1,1,0.5847112,1,0.99826956,1,0.7953563,True,VERIFY_AND_ALERT,MEDIUM,True
1,1,0.6153906,1,0.9987348,1,0.81064606,True,VERIFY_AND_ALERT,MEDIUM,True
0,0,0.2668743,0,0.0017527345,0,0.13183524,True,NO_ACTION,NORMAL,True
1,1,0.9678918,1,0.996414,1,0.9824195,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.81174135,1,0.9939857,1,0.9045671,True,IMMEDIATE_ALERT,HIGH,True
0,0,0.3604654,0,0.00031706682,0,0.17702466,True,NO_ACTION,NORMAL,True
1,1,0.8152493,1,0.9964091,1,0.9075227,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.93766135,1,0.99946755,1,0.9691422,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.6264319,1,0.99772483,1,0.81554914,True,VERIFY_AND_ALERT,MEDIUM,True
0,0,0.32183385,0,0.4649746,0,0.39474225,True,NO_ACTION,NORMAL,True
1,1,0.9121935,1,0.9699497,1,0.94161147,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.7515768,1,0.99394035,1,0.87502414,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.5814701,1,0.95878077,1,0.77365243,True,VERIFY_AND_ALERT,MEDIUM,True
0,0,0.46947467,0,0.0033133165,0,0.23203644,True,NO_ACTION,NORMAL,True
1,1,0.5117283,1,0.9976948,1,0.7592542,True,VERIFY_AND_ALERT,MEDIUM,True
0,1,0.53743476,0,0.00042437864,0,0.26390973,False,NO_ACTION,NORMAL,True
1,1,0.71070176,1,0.996221,1,0.85613036,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.5470351,1,0.9960905,1,0.7757604,True,VERIFY_AND_ALERT,MEDIUM,True
1,1,0.92503166,1,0.97643787,1,0.95121527,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.8762343,1,0.9991033,1,0.9388173,True,IMMEDIATE_ALERT,HIGH,True
0,1,0.51231694,0,0.4201621,0,0.4653781,False,NO_ACTION,NORMAL,True
0,0,0.36429247,0,0.005459425,0,0.18152168,True,NO_ACTION,NORMAL,True
1,1,0.9331202,1,0.9932423,1,0.96374327,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.5196745,1,0.99929285,1,0.76396704,True,VERIFY_AND_ALERT,MEDIUM,True
0,0,0.31865513,0,0.006254718,0,0.1595347,True,NO_ACTION,NORMAL,True
1,1,0.62349594,1,0.9985045,1,0.8145057,True,VERIFY_AND_ALERT,MEDIUM,True
1,1,0.81946987,1,0.999253,1,0.911042,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.67728573,1,0.9167522,1,0.79925746,True,VERIFY_AND_ALERT,MEDIUM,True
0,0,0.4309981,0,0.009456163,0,0.21628666,True,NO_ACTION,NORMAL,True
0,0,0.27931976,0,0.0059487675,0,0.14007886,True,NO_ACTION,NORMAL,True
1,1,0.6176319,1,0.99288297,1,0.8087652,True,VERIFY_AND_ALERT,MEDIUM,True
0,1,0.5222328,0,0.112577274,0,0.31357569,False,NO_ACTION,NORMAL,True
1,1,0.6057349,1,0.9976336,1,0.80534756,True,VERIFY_AND_ALERT,MEDIUM,True
0,1,0.59556586,0,0.014174553,0,0.2994355,False,NO_ACTION,NORMAL,True
1,1,0.8982071,1,0.9966319,1,0.9483396,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.6355558,1,0.99636877,1,0.8193351,True,VERIFY_AND_ALERT,MEDIUM,True
1,1,0.78627247,1,0.99934477,1,0.89480036,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.761262,1,0.9994154,1,0.8825649,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.9673387,1,0.9986645,1,0.9832944,True,IMMEDIATE_ALERT,HIGH,True
0,0,0.40254098,0,0.00036464553,0,0.19769338,True,NO_ACTION,NORMAL,True
0,0,0.36257562,0,0.059655033,0,0.20828371,True,NO_ACTION,NORMAL,True
1,1,0.6183037,1,0.9971239,1,0.81125486,True,VERIFY_AND_ALERT,MEDIUM,True
0,1,0.70718795,1,0.9715978,1,0.84186447,True,VERIFY_AND_ALERT,MEDIUM,False
1,1,0.510661,1,0.9960991,1,0.75791776,True,VERIFY_AND_ALERT,MEDIUM,True
1,1,0.8810512,1,0.9808319,1,0.9318743,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.83662516,1,0.99918514,1,0.9194248,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.89035255,1,0.9977209,1,0.94504035,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.83840674,1,0.9952376,1,0.9182882,True,IMMEDIATE_ALERT,HIGH,True
0,0,0.45333788,0,0.0033882724,0,0.22415707,True,NO_ACTION,NORMAL,True
1,0,0.3433226,1,0.9981558,0,0.6768604,False,NO_ACTION,NORMAL,False
1,1,0.8091426,1,0.99924445,1,0.9059706,True,IMMEDIATE_ALERT,HIGH,True
0,1,0.58292466,0,0.0009195261,0,0.28648168,False,NO_ACTION,NORMAL,True
1,1,0.9042224,1,0.9981199,1,0.9520489,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.70030415,1,0.98861015,1,0.8471522,True,VERIFY_AND_ALERT,MEDIUM,True
0,0,0.14700036,0,0.025595808,0,0.08516323,True,NO_ACTION,NORMAL,True
1,1,0.8392361,1,0.9945596,1,0.91834974,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.70600635,1,0.9964803,1,0.8539586,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.8769003,1,0.8173551,1,0.8465711,True,VERIFY_AND_ALERT,MEDIUM,True
0,1,0.5607547,0,0.043922774,0,0.29750755,False,NO_ACTION,NORMAL,True
1,1,0.9316399,1,0.99524826,1,0.96403867,True,IMMEDIATE_ALERT,HIGH,True
1,1,0.73517257,1,0.9994599,1,0.86978674,True,IMMEDIATE_ALERT,HIGH,True
